2015-06-15 13:18:23,788 | WARN  | Transport Connection to: tcp://127.0.0.1:54693 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54693
2015-06-15 13:18:23,787 | WARN  | Transport Connection to: tcp://127.0.0.1:54691 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54691
2015-06-15 13:18:23,812 | WARN  | Transport Connection to: tcp://127.0.0.1:54693 failed: org.apache.activemq.transport.InactivityIOException: Cannot send, channel has already failed: tcp://127.0.0.1:54693 | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2015-06-15 13:18:23,799 | WARN  | Transport Connection to: tcp://127.0.0.1:54694 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54694
2015-06-15 13:18:23,830 | WARN  | Transport Connection to: tcp://127.0.0.1:54694 failed: org.apache.activemq.transport.InactivityIOException: Cannot send, channel has already failed: tcp://127.0.0.1:54694 | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2015-06-15 13:27:22,216 | WARN  | Transport Connection to: tcp://127.0.0.1:55377 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55377
2015-06-15 13:27:22,217 | WARN  | Transport Connection to: tcp://127.0.0.1:55379 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55379
2015-06-15 13:27:22,223 | WARN  | Transport Connection to: tcp://127.0.0.1:55380 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55380
2015-06-15 13:27:22,217 | WARN  | Transport Connection to: tcp://127.0.0.1:55378 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55378
2015-06-15 13:27:22,222 | WARN  | Transport Connection to: tcp://127.0.0.1:55381 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55381
2015-06-15 13:33:09,456 | WARN  | Transport Connection to: tcp://127.0.0.1:56034 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56034
2015-06-15 13:33:09,457 | WARN  | Transport Connection to: tcp://127.0.0.1:56037 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56037
2015-06-15 13:33:09,457 | WARN  | Transport Connection to: tcp://127.0.0.1:56036 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56036
2015-06-15 13:33:09,457 | WARN  | Transport Connection to: tcp://127.0.0.1:56035 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56035
2015-06-15 13:33:09,460 | WARN  | Transport Connection to: tcp://127.0.0.1:56038 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56038
